ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket,RatingCategory
37,38,3,9/11/2023,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative,Negative,Neutral
38,45,17,5/7/2024,5,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
39,54,1,10/2/2023,5,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
40,33,2,1/3/2025,5,Five  stars    for  the  quick  delivery.,0,Positive,Positive,High
41,93,17,5/15/2025,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
42,72,15,3/21/2023,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
43,84,15,2/2/2025,4,Exceeded  my    expectations!,0,Positive,Positive,High
44,44,17,4/20/2023,5,"Excellent  product,    highly  recommend!",0.7773,Positive,Strong Positive,High
45,11,16,3/23/2023,3,Not  worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
46,27,5,5/7/2025,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
47,19,13,6/1/2024,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
48,70,17,10/8/2023,4,Shipping  was  fast  and  the  item    was  well-packaged.,0,Positive,Positive,High
49,3,7,6/9/2025,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
50,62,4,1/7/2023,1,The  product  stopped  working  after  a  month.,-0.2263,Negative,Negative,Low
51,49,17,4/14/2023,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
52,75,11,4/7/2024,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
53,73,18,12/28/2025,4,Five  stars  for    the  quick  delivery.,0,Positive,Positive,High
54,33,8,5/3/2023,5,"Excellent  product,  highly  recommend!",0.7773,Positive,Strong Positive,High
55,57,9,11/3/2025,3,Customer  support  was    very  helpful.,0.6997,Mixed Positive,Strong Positive,Neutral
56,15,10,12/11/2025,3,Shipping  was  fast  and  the  item  was  well-packaged.,0,Neutral,Positive,Neutral
57,41,10,4/6/2024,2,Disappointed  with  the  performance.,-0.4767,Negative,Negative,Low
58,78,7,7/16/2024,2,"The  product    is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative,Negative,Low
59,98,9,9/1/2024,4,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
60,11,16,12/27/2023,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
61,50,19,2/24/2023,4,"Great  purchase,    very  satisfied.",0.8016,Positive,Strong Positive,High
62,35,17,3/18/2023,2,"Average  experience,  nothing  special.",-0.3089,Negative,Negative,Low
63,93,2,1/5/2025,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
64,86,11,10/30/2025,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
65,34,3,6/15/2024,1,Not  worth  the  money.,-0.1695,Negative,Negative,Low
66,94,16,6/17/2023,4,"I  love  this  product,  will  buy    again!",0.6696,Positive,Strong Positive,High
67,67,13,4/12/2025,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
68,38,7,3/23/2023,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
69,77,12,8/3/2025,3,Five  stars  for  the  quick  delivery.,0,Neutral,Positive,Neutral
70,93,5,1/30/2024,4,Shipping  was  fast    and  the  item  was  well-packaged.,0,Positive,Positive,High
71,24,11,7/28/2025,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
72,29,4,5/29/2023,5,The    build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
73,68,19,5/5/2025,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
74,59,9,5/16/2023,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
75,22,3,1/13/2024,5,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,Positive,High
76,9,10,8/31/2025,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
77,74,5,3/15/2023,4,"Great  purchase,    very  satisfied.",0.8016,Positive,Strong Positive,High
78,6,10,12/9/2024,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
79,84,15,5/28/2024,2,The  product  arrived    late.,0,Negative,Positive,Low
80,98,16,5/24/2025,3,Not  worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
81,3,19,9/4/2024,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
82,78,13,5/2/2023,4,Shipping    was  fast  and  the  item  was  well-packaged.,0,Positive,Positive,High
83,32,11,5/26/2025,4,The  quality  is    top-notch.,0,Positive,Positive,High
84,40,20,7/17/2023,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,Positive,High
85,17,6,10/25/2025,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
86,78,3,10/6/2025,5,"Excellent  product,  highly  recommend!",0.7773,Positive,Strong Positive,High
87,89,17,5/26/2023,3,Not    worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
88,93,19,8/26/2025,4,Exceeded  my  expectations!,0,Positive,Positive,High
89,60,3,7/8/2024,3,The  quality  is  top-notch.,0,Neutral,Positive,Neutral
90,47,17,11/12/2025,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
91,4,16,9/27/2025,3,"Great  purchase,  very  satisfied.",0.8016,Mixed Positive,Strong Positive,Neutral
92,2,16,11/21/2023,3,Not  worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
93,60,13,9/5/2024,3,Not  worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
94,2,16,3/14/2025,4,The  quality  is  top-notch.,0,Positive,Positive,High
95,16,16,4/7/2024,4,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,Positive,High
96,19,13,9/2/2023,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
97,64,6,1/19/2024,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
98,96,3,11/20/2025,5,Exceeded  my  expectations!,0,Positive,Positive,High
99,79,16,1/29/2025,2,"Average  experience,  nothing  special.",-0.3089,Negative,Negative,Low
100,9,2,6/20/2025,3,Not  worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
101,61,18,9/11/2024,5,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
102,4,2,8/22/2025,5,"Excellent  product,  highly  recommend!",0.7773,Positive,Strong Positive,High
103,82,14,11/17/2024,5,The  quality  is  top-notch.,0,Positive,Positive,High
104,96,5,1/6/2023,4,"I  love    this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
105,32,12,8/27/2024,2,The  product    arrived  late.,0,Negative,Positive,Low
106,94,17,2/25/2024,2,"Average  experience,  nothing  special.",-0.3089,Negative,Negative,Low
107,26,10,2/17/2025,5,Five  stars  for    the  quick  delivery.,0,Positive,Positive,High
108,80,17,12/22/2023,5,Five  stars  for  the    quick  delivery.,0,Positive,Positive,High
109,38,10,7/25/2023,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
110,54,12,8/2/2024,4,Customer    support  was  very  helpful.,0.6997,Positive,Strong Positive,High
111,43,7,11/5/2023,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
112,87,3,5/26/2023,5,"Excellent  product,  highly  recommend!",0.7773,Positive,Strong Positive,High
113,27,9,3/31/2024,2,Disappointed  with  the  performance.,-0.4767,Negative,Negative,Low
114,52,19,5/4/2025,2,"Average  experience,  nothing  special.",-0.3089,Negative,Negative,Low
115,82,9,9/28/2023,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
116,70,18,7/23/2023,4,The  quality  is  top-notch.,0,Positive,Positive,High
117,20,14,4/19/2025,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
118,59,6,5/1/2024,1,The  product  arrived  late.,0,Negative,Positive,Low
119,34,5,9/6/2025,4,"Great  purchase,  very    satisfied.",0.8016,Positive,Strong Positive,High
120,3,20,8/18/2024,4,The  quality  is  top-notch.,0,Positive,Positive,High
121,91,1,11/2/2025,2,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Negative,Positive,Low
122,83,14,9/27/2024,2,Not  worth  the  money.,-0.1695,Negative,Negative,Low
123,93,1,9/22/2025,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,Positive,High
124,36,16,7/17/2023,5,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
125,55,11,12/20/2025,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
126,32,10,8/12/2024,5,Exceeded  my  expectations!,0,Positive,Positive,High
127,47,8,3/25/2025,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
128,71,20,12/13/2023,2,"Average  experience,  nothing  special.",-0.3089,Negative,Negative,Low
129,46,13,2/14/2025,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,Positive,High
130,88,3,9/22/2025,5,"Great    purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
131,42,5,6/16/2023,5,Amazing  value  for  the  price.,0.7351,Positive,Strong Positive,High
132,21,7,11/13/2025,2,Product  did  not  meet  my  expectations.,0,Negative,Positive,Low
133,40,4,5/24/2025,4,The  quality  is  top-notch.,0,Positive,Positive,High
134,74,4,3/27/2024,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
135,48,14,6/8/2023,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
136,17,3,3/27/2025,5,Amazing  value  for    the  price.,0.7351,Positive,Strong Positive,High
137,88,6,3/2/2023,4,"Good  quality,  but  could    be  cheaper.",0.2382,Positive,Positive,High
138,28,15,1/18/2023,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
139,36,16,4/20/2023,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
140,53,18,12/3/2023,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
141,98,9,10/15/2024,5,Amazing  value  for  the    price.,0.7351,Positive,Strong Positive,High
142,15,7,8/4/2023,5,"Excellent  product,  highly  recommend!",0.7773,Positive,Strong Positive,High
143,3,12,4/12/2023,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
144,27,15,8/16/2025,4,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
145,27,10,3/5/2024,3,"The    product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
146,5,13,1/9/2025,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
147,100,20,1/25/2025,2,"Average  experience,  nothing  special.",-0.3089,Negative,Negative,Low
148,17,18,11/5/2024,1,"Average  experience,  nothing  special.",-0.3089,Negative,Negative,Low
149,50,3,12/20/2023,4,The  quality  is  top-notch.,0,Positive,Positive,High
150,4,15,6/18/2024,5,"I  love  this  product,  will  buy    again!",0.6696,Positive,Strong Positive,High
151,21,19,10/30/2023,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
152,32,16,12/15/2025,3,"Good  quality,  but    could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
153,95,11,11/6/2023,5,Amazing  value  for  the  price.,0.7351,Positive,Strong Positive,High
154,3,12,12/19/2023,4,The  quality  is  top-notch.,0,Positive,Positive,High
155,89,3,12/10/2025,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
156,5,7,1/26/2025,5,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
157,10,17,10/14/2025,2,The  product  arrived  late.,0,Negative,Positive,Low
158,37,2,4/16/2024,5,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
159,23,12,9/1/2023,5,"I  love  this  product,    will  buy  again!",0.6696,Positive,Strong Positive,High
160,71,9,1/2/2024,2,Not  worth  the  money.,-0.1695,Negative,Negative,Low
161,9,18,8/5/2025,2,The  product  arrived    late.,0,Negative,Positive,Low
162,64,20,7/25/2023,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
163,89,7,5/27/2023,5,The  quality  is  top-notch.,0,Positive,Positive,High
164,25,19,3/16/2024,2,Product  did  not    meet  my  expectations.,0,Negative,Positive,Low
165,97,3,6/3/2025,4,The  quality  is  top-notch.,0,Positive,Positive,High
166,87,3,11/1/2023,3,"Good    quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
167,28,16,8/2/2023,2,Product  did  not  meet    my  expectations.,0,Negative,Positive,Low
168,72,2,12/13/2025,3,Customer  support  was  very  helpful.,0.6997,Mixed Positive,Strong Positive,Neutral
169,26,8,9/28/2025,5,Five  stars  for  the  quick    delivery.,0,Positive,Positive,High
170,53,13,6/23/2024,5,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
171,2,16,2/16/2024,3,Not  worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
172,79,2,11/23/2024,3,Not  worth  the  money.,-0.1695,Mixed Negative,Negative,Neutral
173,15,16,5/30/2025,5,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
174,91,8,6/23/2024,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
175,3,6,11/2/2024,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
176,21,11,11/23/2023,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
177,93,19,7/3/2025,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
178,17,20,5/25/2025,4,The  quality  is    top-notch.,0,Positive,Positive,High
179,46,20,11/26/2025,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
180,77,5,3/8/2023,4,"Great  purchase,    very  satisfied.",0.8016,Positive,Strong Positive,High
181,4,3,8/9/2024,4,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
182,21,11,3/8/2024,5,"Excellent  product,  highly  recommend!",0.7773,Positive,Strong Positive,High
183,13,5,6/8/2025,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
184,59,5,12/29/2024,4,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,Positive,High
185,8,6,11/13/2023,2,Product  did  not  meet  my  expectations.,0,Negative,Positive,Low
186,22,13,2/17/2023,4,The  quality  is  top-notch.,0,Positive,Positive,High
187,58,18,5/1/2025,4,The  quality  is  top-notch.,0,Positive,Positive,High
188,70,5,9/19/2025,5,Exceeded  my  expectations!,0,Positive,Positive,High
189,83,7,3/13/2025,2,The  product    arrived  late.,0,Negative,Positive,Low
190,83,3,8/10/2023,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
191,68,3,9/5/2024,4,"Great  purchase,    very  satisfied.",0.8016,Positive,Strong Positive,High
192,42,17,8/4/2023,5,"Excellent  product,  highly  recommend!",0.7773,Positive,Strong Positive,High
193,84,20,6/21/2024,3,"The  product  is  okay,  but  the  instructions  were    unclear.",-0.2617,Mixed Negative,Negative,Neutral
194,7,7,5/19/2025,1,The  product  arrived  late.,0,Negative,Positive,Low
195,75,5,10/25/2023,5,Amazing  value  for  the  price.,0.7351,Positive,Strong Positive,High
196,91,2,10/29/2023,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
197,51,15,11/27/2024,4,"I  love  this  product,    will  buy  again!",0.6696,Positive,Strong Positive,High
198,57,8,8/27/2023,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
199,6,13,8/20/2024,5,The    quality  is  top-notch.,0,Positive,Positive,High
200,30,17,1/9/2025,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
201,59,6,5/23/2023,2,Not  worth  the  money.,-0.1695,Negative,Negative,Low
202,33,9,9/6/2023,5,Amazing  value  for  the  price.,0.7351,Positive,Strong Positive,High
203,66,18,11/22/2023,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
204,95,14,11/29/2024,4,"Great  purchase,  very    satisfied.",0.8016,Positive,Strong Positive,High
205,88,12,4/6/2023,5,Amazing  value  for  the  price.,0.7351,Positive,Strong Positive,High
206,72,14,8/22/2023,4,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,Positive,High
207,95,18,6/7/2025,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
208,94,8,3/25/2023,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
209,70,8,11/5/2025,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
210,28,1,12/10/2023,2,The  product  arrived  late.,0,Negative,Positive,Low
211,84,12,3/7/2025,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
212,87,10,1/3/2023,1,"Terrible  customer  service,  would  not  buy  again.",-0.4767,Negative,Negative,Low
213,7,13,4/9/2024,5,Shipping  was  fast  and    the  item  was  well-packaged.,0,Positive,Positive,High
214,53,18,4/13/2025,3,Five  stars  for  the  quick  delivery.,0,Neutral,Positive,Neutral
215,55,10,1/7/2024,2,Product  did  not  meet  my  expectations.,0,Negative,Positive,Low
216,49,7,11/14/2023,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
217,62,11,8/19/2023,5,Amazing  value    for  the  price.,0.7351,Positive,Strong Positive,High
218,35,8,9/14/2024,4,The  quality  is  top-notch.,0,Positive,Positive,High
219,90,9,2/18/2023,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
220,78,9,8/12/2025,2,Disappointed  with  the  performance.,-0.4767,Negative,Negative,Low
221,26,2,10/21/2024,4,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
222,54,14,2/28/2024,5,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
223,37,16,7/31/2023,5,Exceeded  my  expectations!,0,Positive,Positive,High
224,68,15,3/27/2023,4,"Great  purchase,    very  satisfied.",0.8016,Positive,Strong Positive,High
225,80,1,9/8/2025,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
226,60,9,8/23/2023,2,The  product  arrived  late.,0,Negative,Positive,Low
227,74,11,8/10/2024,4,"Good    quality,  but  could  be  cheaper.",0.2382,Positive,Positive,High
228,20,19,10/23/2025,2,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative,Negative,Low
229,69,12,2/7/2023,4,The    quality  is  top-notch.,0,Positive,Positive,High
230,54,11,10/19/2023,2,The  product  arrived  late.,0,Negative,Positive,Low
231,15,16,4/15/2025,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
232,17,3,10/11/2025,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
233,81,4,11/14/2024,2,The  product  arrived  late.,0,Negative,Positive,Low
234,80,9,3/6/2023,5,The  build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
235,54,3,3/18/2024,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
236,55,16,3/3/2025,5,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
237,44,2,9/29/2025,4,The  quality  is  top-notch.,0,Positive,Positive,High
238,47,9,4/18/2023,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
239,45,9,1/28/2024,5,Exceeded  my  expectations!,0,Positive,Positive,High
240,20,16,11/9/2024,5,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
241,61,15,4/22/2024,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
242,20,20,6/7/2025,4,The  quality  is  top-notch.,0,Positive,Positive,High
243,24,11,2/17/2023,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,Strong Negative,Low
244,36,4,8/25/2023,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
245,50,3,3/23/2023,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
246,71,12,7/23/2023,4,The    quality  is  top-notch.,0,Positive,Positive,High
247,28,6,11/24/2025,5,"Excellent  product,  highly    recommend!",0.7773,Positive,Strong Positive,High
248,81,6,7/15/2023,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,Positive,Neutral
249,75,2,1/4/2023,1,"Not    satisfied,  the  product  broke  after  a  week.",-0.6288,Negative,Strong Negative,Low
250,22,11,9/21/2023,1,The  product  stopped  working  after  a  month.,-0.2263,Negative,Negative,Low
251,16,2,2/1/2024,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,Positive,High
252,6,6,3/18/2025,5,The  build  quality  is    impressive.,0.5106,Positive,Strong Positive,High
253,75,15,8/3/2024,3,"Great  purchase,  very  satisfied.",0.8016,Mixed Positive,Strong Positive,Neutral
254,30,19,12/31/2025,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
255,13,16,1/23/2024,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
256,91,3,2/11/2024,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,Positive,High
257,84,13,10/3/2023,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative,Negative,Neutral
258,34,7,5/13/2025,4,"Great    purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
259,75,2,8/24/2023,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
260,44,18,3/7/2024,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
261,29,12,10/15/2024,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
262,45,7,7/7/2024,5,Five  stars  for    the  quick  delivery.,0,Positive,Positive,High
263,47,8,10/21/2024,4,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
264,96,18,8/19/2025,4,Shipping  was  fast  and  the    item  was  well-packaged.,0,Positive,Positive,High
265,22,19,5/14/2024,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
266,62,5,2/22/2025,5,"Excellent  product,    highly  recommend!",0.7773,Positive,Strong Positive,High
267,55,19,12/1/2023,3,"The  product  is    okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative,Negative,Neutral
268,98,17,10/28/2023,5,The  build  quality    is  impressive.,0.5106,Positive,Strong Positive,High
269,75,4,11/18/2023,4,The  quality  is  top-notch.,0,Positive,Positive,High
270,46,6,9/25/2023,1,The  color  was  different  from  what  was  shown.,0,Negative,Positive,Low
271,21,17,8/8/2025,5,The    build  quality  is  impressive.,0.5106,Positive,Strong Positive,High
272,39,17,3/26/2023,5,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,Positive,High
273,10,2,10/9/2024,5,Shipping  was  fast  and  the  item  was  well-packaged.,0,Positive,Positive,High
274,93,11,4/7/2023,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
275,45,12,4/3/2023,4,Five  stars  for  the  quick  delivery.,0,Positive,Positive,High
276,86,1,1/29/2025,5,The  quality  is  top-notch.,0,Positive,Positive,High
277,22,6,3/21/2025,4,The  quality  is  top-notch.,0,Positive,Positive,High
278,80,20,3/1/2023,5,Amazing  value  for  the  price.,0.7351,Positive,Strong Positive,High
279,86,5,7/21/2023,5,Customer  support  was  very  helpful.,0.6997,Positive,Strong Positive,High
280,68,19,11/9/2023,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,Positive,High
281,71,5,11/19/2025,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
282,59,5,2/17/2023,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,Negative,Neutral
283,87,13,2/14/2023,5,"I  love  this  product,  will  buy  again!",0.6696,Positive,Strong Positive,High
284,89,13,9/1/2023,4,"Great  purchase,  very  satisfied.",0.8016,Positive,Strong Positive,High
285,29,3,8/25/2023,4,"Good  quality,  but  could    be  cheaper.",0.2382,Positive,Positive,High
